series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
37982,Domestic na Kanojo,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37520,Dororo,TV,24,0,12,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
38691,Dr. Stone,TV,24,0,24,2020-11-27,2020-11-28,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40852,Dr. Stone: Stone Wars,TV,11,0,11,0000-00-00,2021-03-25,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31339,Drifters,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36480,Drifters (OVA),OVA,2,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
1685,Duel Masters,TV,26,0,26,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,12,0,12,0000-00-00,2017-07-01,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12,0,12,0000-00-00,2019-09-29,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,OVA,1,0,1,0000-00-00,0000-00-00,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,0,12,0000-00-00,2020-12-18,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37348,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
